,distance,width,movement_time
645,40,14,689
428,60,10,813
3365,60,14,511
3617,40,10,563
3301,40,20,455
1864,120,6,672
5860,160,6,1392
2983,75,6,768
2557,160,18,784
4375,210,18,976
3421,120,18,474
1410,160,6,1001
2549,120,14,927
103,75,6,944
4744,120,14,624
2700,60,6,713
6076,75,18,512
856,160,10,912
2182,40,18,297
4997,40,6,521
4054,75,10,640
2959,40,14,527
4257,60,8,663
5345,75,6,592
5894,120,20,609
760,40,8,574
335,120,20,886
5679,160,20,507
3497,60,8,593
5237,160,8,792
5638,120,18,536
2862,160,10,1202
5281,75,14,405
169,40,14,435
4164,160,8,761
3668,75,14,712
647,40,14,650
1644,40,6,640
2251,75,18,347
2692,75,10,672
1034,75,8,967
4294,160,14,736
92,60,18,378
95,60,18,375
1668,210,20,721
1115,210,14,958
3184,210,20,766
2225,75,10,560
925,40,6,760
5689,120,10,532
1022,160,6,928
878,120,8,894
2118,120,6,1039
5775,60,8,426
1939,40,20,654
975,60,6,807
583,120,6,862
750,160,14,1051
1026,160,20,729
5579,210,10,704
745,160,14,842
3887,210,6,1008
5909,210,14,914
3492,60,8,1033
1251,75,8,741
4993,40,6,616
5690,120,10,531
4888,40,14,491
4470,75,20,400
841,60,20,694
5814,40,14,488
243,160,6,1048
224,160,14,600
250,40,20,526
2168,210,6,1161
1645,210,14,728
367,120,14,640
5818,40,14,512
4664,160,6,829
3306,40,20,400
3996,40,8,609
1917,75,20,639
2553,160,18,798
3086,60,18,496
5565,75,6,442
4900,160,20,624
3895,60,20,490
4829,75,20,471
4515,210,6,1050
4139,40,14,438
2001,160,20,677
3868,210,10,824
776,120,18,816
3736,60,14,542
1273,75,10,585
1908,75,20,278
2921,160,18,768
3240,40,6,526
1791,60,6,569
6011,120,18,767
1988,160,8,1384
4458,160,6,893
1894,210,10,614
6163,160,10,952
817,75,6,1270
3730,60,14,719
1232,75,6,667
1869,120,6,624
5658,75,18,360
5583,210,10,638
4279,60,20,626
67,60,14,592
2961,40,14,512
830,120,20,816
5717,120,6,672
58,120,8,1046
837,60,20,543
3434,75,8,609
2609,60,20,479
3171,75,6,793
265,210,14,1209
4795,40,8,575
924,40,6,585
217,160,14,895
443,60,8,886
3971,120,10,584
2065,60,6,551
6123,160,14,920
4305,60,18,523
5205,160,14,687
1397,40,14,596
548,120,14,927
884,120,8,903
4349,120,6,834
2666,210,6,1521
2308,120,8,755
5653,75,18,407
5824,210,8,1008
4502,160,20,521
219,160,14,808
1479,75,18,536
1324,60,8,608
2837,120,18,703
395,210,10,1065
5356,210,18,656
2503,40,14,473
247,160,6,886
4272,40,18,555
228,60,20,480
5842,40,6,560
5685,120,10,719
3744,160,20,854
438,40,6,869
5182,75,10,514
4538,120,18,656
2103,210,10,1120
3659,210,6,1277
5649,75,18,423
1296,120,18,750
1958,60,18,392
1354,60,14,513
2986,120,20,594
3939,75,6,673
3859,210,10,865
3012,210,6,1155
5099,60,8,576
6015,120,18,658
3634,120,18,865
1472,120,6,888
5650,75,18,321
4244,40,6,767
5848,40,6,599
2533,120,18,719
2109,210,10,801
5315,120,14,488
2055,60,6,729
5238,160,8,720
3601,75,6,1310
1039,75,8,743
1042,75,8,857
5278,120,8,723
4341,120,6,839
1466,120,6,704
1093,120,14,608
3647,75,8,969
4986,160,10,646
3158,40,18,453
4252,60,8,530
3297,160,8,751
2684,75,20,457
1619,160,20,592
4167,160,8,674
5042,120,10,607
6102,40,10,495
4677,75,18,518
3235,40,6,937
5201,160,14,814
4973,210,20,617
1315,60,8,567
2498,60,10,741
1430,210,10,847
102,75,6,873
1513,160,8,1033
1290,40,8,615
564,120,8,1015
894,120,6,929
412,75,8,680
3932,160,6,848
2227,75,10,677
5741,40,8,338
4785,75,14,688
1527,120,10,722
658,210,14,1046
5271,120,8,522
5923,40,8,737
3234,40,6,1254
4321,120,14,680
1231,75,6,613
23,160,10,1114
2736,210,8,880
1887,210,10,738
3929,160,6,914
359,210,10,1099
4852,60,6,730
1104,210,10,909
4296,160,14,1056
4155,120,8,704
6100,40,10,659
1843,160,6,648
5046,120,10,712
3092,75,18,767
1549,210,18,600
128,120,18,662
5670,210,6,792
5877,75,10,715
744,160,14,1045
4379,210,18,680
3244,40,6,728
5971,75,6,815
457,60,14,729
1720,40,8,455
2990,120,20,673
4385,210,10,934
1888,210,10,879
5261,60,20,367
5712,210,18,504
2320,120,18,481
710,40,10,750
4953,160,14,704
2856,160,10,1106
4780,75,14,585
292,60,10,583
616,210,18,803
2928,40,18,480
4606,60,6,984
1932,75,20,425
4697,60,8,601
3989,40,8,498
144,75,8,590
4260,75,18,504
2880,120,8,867
2079,120,14,630
6138,210,20,1232
161,40,14,432
1799,120,14,495
2244,75,18,473
3888,210,6,1023
4429,210,20,690
3850,210,14,680
0,210,8,1146
4130,75,20,472
1576,75,18,680
3701,120,20,714
5253,60,6,545
2892,160,8,993
5178,75,10,471
1524,120,10,578
3894,60,20,513
5713,210,18,544
2451,60,14,567
617,210,18,1072
2161,40,14,416
3217,160,6,760
4713,40,18,464
3604,75,6,943
2089,120,20,671
2173,210,6,1104
4227,40,18,336
2209,60,10,535
4761,120,20,600
1390,40,14,636
931,75,20,494
2809,40,6,784
4856,60,6,601
5217,40,6,432
5184,75,10,439
4187,60,10,511
1564,120,18,601
1369,210,6,822
1088,120,14,670
3920,160,18,748
5393,40,18,329
1654,210,14,802
1126,75,14,769
1615,160,20,745
6057,210,6,1721
3890,60,20,736
5708,210,18,497
3411,160,18,735
4531,75,8,753
4204,120,18,472
2248,75,18,514
5104,60,8,430
5407,120,18,535
162,40,14,441
4596,75,14,535
3708,160,6,1495
2670,210,6,926
769,120,10,965
3681,40,20,622
1853,60,8,474
2318,120,8,711
5124,210,10,755
5175,40,10,584
3671,75,14,528
1835,160,6,797
4397,40,8,513
3204,60,18,529
677,40,8,1026
406,40,20,646
3534,210,8,1181
5048,120,10,641
1317,60,8,512
5026,75,8,767
4594,40,6,471
1255,75,8,589
5710,210,18,550
2517,60,18,550
112,160,20,766
5306,210,14,632
118,160,18,695
2617,40,20,507
3368,60,14,584
3718,120,8,986
5599,40,14,352
54,75,20,778
1320,60,8,618
5879,75,10,913
3087,75,18,573
2127,120,6,698
1777,160,8,728
1440,60,10,544
2061,60,6,493
3570,40,6,742
3691,60,18,585
4010,75,14,562
586,120,6,966
6050,210,6,1199
5126,210,10,616
2456,60,14,587
57,120,8,857
5993,160,8,624
1941,40,20,377
4819,210,14,712
50,75,20,650
4653,210,8,833
2580,120,8,1008
5260,60,20,336
2623,40,20,423
366,210,10,817
971,60,6,918
4800,210,18,938
1735,60,18,380
2834,120,18,886
3896,60,20,478
5365,210,18,613
5029,75,8,623
4729,40,10,535
3128,120,10,830
638,210,6,1216
1928,75,20,425
3817,160,10,882
3000,120,6,1201
1744,75,6,750
1219,120,8,691
1811,210,6,735
819,75,6,903
3189,210,20,952
902,40,14,577
4631,60,10,791
1585,120,20,640
641,210,6,1055
2086,120,20,665
3880,210,6,801
3877,160,20,714
35,210,20,848
1085,210,20,801
1774,160,8,746
3595,60,8,969
555,160,6,1185
5087,160,10,791
1992,160,8,1711
5335,120,20,465
3941,75,6,728
2529,160,6,1168
709,40,10,691
751,160,14,919
4498,160,8,713
3619,60,6,904
4591,40,6,437
5221,40,6,482
5589,160,14,536
5817,40,14,486
2968,60,8,542
821,75,6,1143
4640,120,18,782
99,75,6,805
1640,40,6,614
773,120,10,910
3145,75,20,690
1404,160,6,666
2460,60,14,530
5794,210,8,694
5853,160,6,1216
1450,120,20,630
3002,120,6,979
1208,60,18,480
3288,160,8,871
692,120,18,753
4479,40,14,371
4974,210,20,711
5063,160,6,1000
5751,75,14,421
173,40,6,535
6113,210,18,1066
6152,60,20,439
562,160,6,1512
4903,160,20,494
2752,160,14,624
5047,120,10,760
1607,60,10,602
4855,60,6,503
2999,120,6,992
2236,40,10,376
4918,75,10,576
4779,60,14,527
2607,60,20,544
5945,210,10,1136
4462,75,20,392
1418,210,18,761
6021,60,6,816
4789,75,14,658
5571,75,6,610
3207,60,18,448
1057,75,18,585
4031,60,6,728
1512,160,8,841
